[40187.167798] exit number= 0, number_of_exits =1524257
[40187.169433] exit number= 0, number_of_exits =1524271
[40187.237601] exit number= 1, number_of_exits =247129
[40187.243669] exit number= 1, number_of_exits =247172
[40187.262659] exit number= 2, number_of_exits =0
[40187.265289] exit number= 2, number_of_exits =0
[40187.317202] exit number= 3, number_of_exits =0
[40187.317904] exit number= 3, number_of_exits =0
[40187.345144] exit number= 4, number_of_exits =0
[40187.345894] exit number= 4, number_of_exits =0
[40187.386215] exit number= 5, number_of_exits =0
[40187.388103] exit number= 5, number_of_exits =0
[40187.435544] exit number= 6, number_of_exits =0
[40187.437054] exit number= 6, number_of_exits =0
[40187.498822] exit number= 7, number_of_exits =39321
[40187.500171] exit number= 7, number_of_exits =39324
[40187.539783] exit number= 8, number_of_exits =0
[40187.540416] exit number= 8, number_of_exits =0
[40187.573000] exit number= 9, number_of_exits =0
[40187.576656] exit number= 9, number_of_exits =0
[40187.614806] exit number= 10, number_of_exits =294888
[40187.616252] exit number= 10, number_of_exits =294889
[40187.638398] exit number= 11, number_of_exits =0
[40187.639504] exit number= 11, number_of_exits =0
[40187.662068] exit number= 12, number_of_exits =28395
[40187.662711] exit number= 12, number_of_exits =28396
[40187.730042] exit number= 13, number_of_exits =0
[40187.745543] exit number= 13, number_of_exits =0
[40187.771180] exit number= 14, number_of_exits =163555
[40187.771720] exit number= 14, number_of_exits =163555
[40187.824176] exit number= 15, number_of_exits =0
[40187.826709] exit number= 15, number_of_exits =0
[40187.872575] exit number= 16, number_of_exits =0
[40187.883147] exit number= 16, number_of_exits =0
[40187.916061] exit number= 17, number_of_exits =0
[40187.920152] exit number= 17, number_of_exits =0
[40187.947522] exit number= 18, number_of_exits =0
[40187.949458] exit number= 18, number_of_exits =0
[40187.979226] exit number= 19, number_of_exits =0
[40187.980976] exit number= 19, number_of_exits =0
[40188.046915] exit number= 20, number_of_exits =0
[40188.055402] exit number= 20, number_of_exits =0
[40188.115992] exit number= 21, number_of_exits =0
[40188.116499] exit number= 21, number_of_exits =0
[40188.140777] exit number= 22, number_of_exits =0
[40188.142715] exit number= 22, number_of_exits =0
[40188.171122] exit number= 23, number_of_exits =0
[40188.172048] exit number= 23, number_of_exits =0
[40188.199253] exit number= 24, number_of_exits =0
[40188.200351] exit number= 24, number_of_exits =0
[40188.235042] exit number= 25, number_of_exits =0
[40188.235479] exit number= 25, number_of_exits =0
[40188.262012] exit number= 26, number_of_exits =0
[40188.262754] exit number= 26, number_of_exits =0
[40188.275710] exit number= 27, number_of_exits =0
[40188.280696] exit number= 27, number_of_exits =0
[40188.309117] exit number= 28, number_of_exits =106398
[40188.311063] exit number= 28, number_of_exits =106404
[40188.350230] exit number= 29, number_of_exits =5
[40188.350964] exit number= 29, number_of_exits =5
[40188.400792] exit number= 30, number_of_exits =383064
[40188.401604] exit number= 30, number_of_exits =383064
[40188.440794] exit number= 31, number_of_exits =1393
[40188.441571] exit number= 31, number_of_exits =1393
[40188.461547] exit number= 32, number_of_exits =187430
[40188.474989] exit number= 32, number_of_exits =187446
[40188.496834] exit number= 33, number_of_exits =22739
[40188.497367] exit number= 33, number_of_exits =22739
[40188.537977] exit number= 34, number_of_exits =0
[40188.540726] exit number= 34, number_of_exits =0
[40188.579302] The Exit Number is not present in the SDM: 35
[40188.579749] The Exit Number is not present in the SDM: 35
[40188.601889] exit number= 36, number_of_exits =0
[40188.608838] exit number= 36, number_of_exits =0
[40188.643557] exit number= 37, number_of_exits =0
